Name,Council,Ward,Headline,Description,DatePublished,Url,MediaOutlet,Descriptor
Gary Markwell,West Sussex,Arundel & Courtwick,Speaker profile for Cllr Gary Markwell - West Sussex webcasts,Speaker profile for Cllr Gary Markwell - West Sussex webcasts. Cllr Gary Markwell. Biography. Position; Arundel & Courtwick. Organisation; Reform UK. Biography.,,https://westsussex.public-i.tv/core/portal/speaker_profile/34191,,"The provided text consists of various links related to Speaker Details, Attendance record, Declarations of interest, and Register of interests. It does not express any sentiment towards Gary Markwell or suggest following him on x.com or Twitter. The text is factual and informative, presenting neutral content."
Gary Markwell,West Sussex,Arundel & Courtwick,West Sussex Council Composition: Latest,"West Sussex Council Composition: Latest ; Gary Markwell, Reform UK, Arundel & Courtwick, 2028 ; Keir Greenway, Conservative and Unionist, Bersted, 2028.",,https://opencouncildata.co.uk/council.php?c=26&y=0,,The text is a factual report providing information about key details related to West Sussex Councillors and the site's email address. It does not express any positive or negative sentiment towards Gary Markwell.
Paul Linehan,West Sussex,Bramber Castle,Reform picks candidate to become first mayor of Sussex,"The party said: â€œWest Sussex county councillor and veteran Paul Linehan ... At the last local elections, in 2021, Councillor Linehan his seat in ...",########,https://www.brightonandhovenews.org/2025/11/27/reform-picks-candidate-to-become-first-mayor-of-sussex/,,"The sentiment towards Paul Linehan in this text is positive due to the detailed description of his impressive background, including military service, education, and public sector experience. The text highlights his qualifications and aspirations for improving Sussex by empowering residents and businesses. While there are some critical comments about Reform UK and mixed opinions on Linehan's candidacy, the overall focus is on his personal credentials rather than negative sentiment towards him personally."
Trevor Bence,West Sussex,Fontwell,Useful Links and Contacts - Walberton Parish Council,"Councillor Trevor Bence, trevor.bence@westsussex.gov.uk Â· Sussex Police. Emergency: 999 (or Textphone 18000); Non-Emergency: 101 (or Textphone ...",,https://walberton-pc.gov.uk/Useful_Links_and_Contacts.aspx.html,,"The text provides factual information about local representatives and services in the Walberton, Binsted and Fontwell area, including contact details for Arun District Councillors, a Community Warden, West Sussex County Councillor, MP, and links to relevant council websites. It also includes instructions for reporting issues like road problems and anti-social behavior. There is no explicit positive or negative sentiment expressed towards Trevor Bence; hence, the sentiment score remains neutral at 0."
Trevor Bence,West Sussex,Fontwell,Trevor Bence Election Results | West Sussex County Council,"Election history for Trevor Bence, Reform UK councillor at West Sussex County Council. 1 election contested, elected 1 time, 1618 total votes received.",,https://www.local-democracy.uk/councillors/west-sussex/1652/elections,,"The provided text is a factual report about an unofficial data scraping service that promotes transparency in local government, specifically mentioning Reform UK and West Sussex County Council. There are no positive or negative sentiments expressed towards Trevor Bence."
Harrison Allman-Varty,Elmbridge,Oatlands and Burwood Park,Elmbridge - Local Spending Board ... - Open Council Network,Profile image for Councillor Harrison Allman-Varty. Councillor Harrison Allman-Varty Reform UK â€¢ Oatlands and Burwood Park. Profile image for Councillor ...,,https://opencouncil.network/meetings/70096,,"The text is primarily informational and factual, detailing the services offered by Open Council Network, their subscription plans, and how to request support for specific councils like Elmbridge. There is no explicit positive or negative sentiment expressed towards Harrison Allman-Varty, as he is not mentioned in the text. The content focuses on general instructions and service descriptions without endorsing or criticizing any individual."
Mark Shooter,Barnet,Hendon,Barnet local election: The 11 candidates in Hendon,"Mark Shooter. Elected. Conservative and Unionist Party 2,436 votes. Photo of Mark Shooter. Charlotte Elizabeth Daus. Labour Party 1,427 votes.",########,https://whocanivotefor.co.uk/elections/local.barnet.hendon.2022-05-05/hendon/,,"The text is a factual report detailing the results of an election in Hendon ward, including candidate votes and next scheduled election date. It does not express any positive or negative sentiment towards Mark Shooter or any other individual, maintaining neutrality."
Daniel Sutherland,Calderdale,Illingworth and Mixenden,Open Council Data UK - compositions councillors parties wards ...,"Daniel Sutherland, Reform UK, Illingworth and Mixenden, 2026. Shane Taylor, Labour Party, Illingworth and Mixenden, 2026. Stephanie Clarke, Labour Party ...",,https://opencouncildata.co.uk/council.php?c=268&y=2025,,"The text is a factual report providing details about Calderdale Councillors and the site's information source. It does not express any sentiment towards Daniel Sutherland, as there is no mention of him in the provided text."
Daniel Sutherland,Calderdale,Illingworth and Mixenden,Calderdale - Ward Forum - Illingworth & Mixenden - 02/03/2026,Profile image for Daniel Sutherland. Daniel Sutherland Leader of the Reform UK Group â€¢ Reform UK â€¢ Illingworth and Mixenden. Profile image for Shane Taylor.,,https://opencouncil.network/meetings/98115,,"The text provided is a factual report about the Open Council Network's service and their current support status for Calderdale Council. It informs users on how to subscribe, contact the organization for professional support, and encourages residents to subscribe for updates when available. The information shared is neutral and does not express any positive or negative sentiment towards Daniel Sutherland or any other individual associated with the council."
Daniel Sutherland,Calderdale,Illingworth and Mixenden,Your Councillors | Democracy at Calderdale Council,Stephanie Clarke. Illingworth and Mixenden. Labour Â· Daniel Sutherland. Illingworth and Mixenden. Reform UK. Leader of the Reform UK Group Â· Shane Taylor.,,https://calderdale.moderngov.co.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,,"The text is a factual report describing the roles and responsibilities of local councillors, including their duties, contact methods, profile information requirements, and political affiliations. It does not express personal opinions or emotions about any specific individual councillor, such as Daniel Sutherland. Therefore, the sentiment remains neutral."
Jaymey McIvor,Essex,Ongar and Rural,Private parts' photo accusation heard at Essex council meeting - BBC,Labour Essex county councillor Aidan McGurran brought up allegations about Reform councillor Jaymey McIvor during a full council meeting on ...,13-Jan-25,https://www.bbc.co.uk/news/videos/cwye1end11ro,,"The text presents a factual report on an incident involving Jaymey McIvor during a council meeting. It details allegations made against him by Labour Essex county councillor Aidan McGurran, which McIvor denies. The text remains neutral and informative throughout, providing a balanced account of the events without expressing a positive or negative sentiment towards Jaymey McIvor."
Tony Payne,Exeter,Mincinglake and Whipton,Statements of persons nominated: Exeter - Democracy in ...,The following is a statement of the persons nominated for election as a County Councillor for the Alphington and Cowick Division,05-Jun-25,https://www.devon.gov.uk/democracy/document/statements-of-persons-nominated-exeter/,,"The text provided is an official statement regarding a County Councillor election in Devon. It lists the nominations, indicates which are valid and invalid, and announces the date and hours for a poll. There are no positive or negative sentiments expressed towards any individual; it simply reports factual information without endorsement or criticism of Tony Payne or any other person mentioned."
Tony Payne,Exeter,Mincinglake and Whipton,Mincinglake & Whipton - Exeter Liberal Democrats,Your Lib Dem Candidate for Mincinglake & Whipton. Michael Payne. Mike moved to Exeter in 2002 to study at the University (as a mature student).,,https://www.exeterlibdems.org.uk/localwards/mincinglakeandwhipton,,"The text is a factual report detailing Mike's personal journey, including his education, career, and community involvement in Exeter. It does not express any explicit positive or negative sentiment towards Tony Payne, who is not mentioned at all. Therefore, the sentiment is neutral."
Amanda Napper,Hartlepool,Throston,Councillors - Hartlepool Borough Council,Ward: Manor House. Party: Labour & Co-operative Party. Councillor headshot. Bob Buchan. Ward: Fens & Greatham. Party: Conservatives. Councillor headshot ...,,https://www.hartlepool.gov.uk/councillors,,"The text provided is a factual report listing the political parties associated with various wards in Hartlepool Borough Council for the year 2026. It does not express any sentiment towards an individual like Amanda Napper; hence, the sentiment is neutral."
Sharon Collings,Havant,Leigh Park Central & West Leigh,Havant Councillors Information,"Leigh Park Central & West Leigh. Placeholder image. Address: Not Listed, Term Expires: 2026. e-mail: cllr.sharon.collings@havant.gov.uk. Boards & Committees ...",,http://www.havanthub.co.uk/councillors.html,,"The text extensively lists Sharon Collings' roles and committees she is part of in the local council, highlighting her active participation and leadership positions such as Vice Chairman, Chairman, Cabinet Lead, and Standing Deputy. These roles indicate a high level of responsibility and involvement, suggesting very positive sentiment towards Sharon Collings."
Sharon Collings,Havant,Leigh Park Central & West Leigh,Reform UK's newly elected councillors put under investigation after ...,Sharon Collings and Victoria Rhodes were both elected to Havant Borough Council last week - the only two council seats Reform won in local ...,########,https://www.dailymail.co.uk/news/article-13393491/Reform-UKs-newly-elected-councillors-investigation-revealed-praised-far-right-thug-Tommy-Robinson-brave-man-promoted-claims-far-Muslims-branded-London-world-cesspit.html,,"The text describes Sharon Collings and Victoria Rhodes, newly elected Reform UK councillors for Havant Borough Council, being investigated by the party due to their past social media activity. This activity includes praising Tommy Robinson, a controversial figure associated with far-right groups, and making disparaging remarks about Muslims and ethnic minorities. Their past posts reveal derogatory terms, promotion of deportation ideas, and criticism of multicultural symbols like Ramadan messages, indicating strong negative sentiment towards minority groups. This context illustrates that their views are considered unacceptable by the party, leading to an investigation into their fitness for public life."
Sharon Collings,Havant,Leigh Park Central & West Leigh,Bid to boost visitor numbers and support events in Havant ...,"... Havant St Faith's), Cllr Ann Briggs (Con, Hart Plain) and Cllr Sharon Collings (Reform UK, Leigh Park Central and West Leigh). Cllr Andrew ...",########,https://www.emsworthonline.co.uk/NEWS%20PAGES/Bid%20to%20boost%20visitor%20numbers.html,,"The text provides a factual report about the formation of a task force to support events in Havant Borough, aiming to attract more visitors. Sharon Collings is mentioned as one of the councillors included in this group. The tone remains neutral and informative throughout, detailing the objectives, members, and procedures without expressing positive or negative emotions towards Sharon Collings."
Vicky Rhodes,Havant,Leigh Park Hermitage,Your area - Who Can I Vote For?,Havant Borough Council: Leigh Park Hermitage ward Â· Local Councillors Â· Richard Joseph Spence Brown Â· Amy Redsull Â· Vicky Rhodes.,,https://whocanivotefor.co.uk/your_area/PO9%204HE/,,"The text provides factual information about the roles and responsibilities of various government organizations and officials, including Members of Parliament (MPs), local councillors, county councils, police and crime commissioners, and additional local councils. It explains their functions without expressing personal opinions or emotions, thus maintaining a neutral tone."
Vicky Rhodes,Havant,Leigh Park Hermitage,Havant - Council - 05/11/2025 - Open Council Network,Profile image for Councillor Vicky Rhodes. Councillor Vicky Rhodes Reform UK â€¢ Leigh Park Hermitage. Profile image for Councillor Charles Robert. Councillor ...,,https://opencouncil.network/meetings/84811,,"The text is a factual report informing users about the service's current capabilities and limitations regarding Havant Council coverage. It explains the costs of running the service, encourages subscriptions, and provides contact information for professional subscribers and residents. There are no positive or negative sentiments expressed towards Vicky Rhodes, as she is not mentioned in the text."
David Maclean,Isle of Wight,Lake North,"Lake North By-Election To Cost Taxpayers Over Â£5,000","The October 2 poll was triggered by the resignation of Reform UK councillor David Maclean, who stepped down just months after being elected ...","Sep 30, 2025",https://www.iwradio.co.uk/news-post/lake-north-by-election-to-cost-taxpayers-over-5-000,,"The text is a factual report detailing the costs and circumstances surrounding a by-election triggered by the resignation of David Maclean. It presents information about election expenses and comments from various political figures without expressing personal opinion or sentiment towards David Maclean. Therefore, the sentiment remains neutral."
David Maclean,Isle of Wight,Lake North,Reform councillor will be asked to consider committee role,"Reform UK's Cllr David Maclean has been absent from the first three sessions of the Isle of Wight Council's children's services, ...","Aug 15, 2025",https://www.countypress.co.uk/news/25393287.reform-councillor-will-asked-consider-committee-role/,,"The text presents a factual report on the absences of Cllr David Maclean from committee meetings and the concerns raised by his colleagues regarding his participation in decision-making processes. There are no positive or negative sentiments expressed towards Cllr Maclean explicitly; the focus is on the procedural aspects, the impact of his absences on committee functioning, and the need for him to consider his position due to lack of attendance in crucial meetings."
Lynn Dean,Newcastle-under-Lyme,Knutton,Newcastle-under-Lyme Council Composition: Latest,"Name, Party, Ward, End of Term. Newcastle-under-Lyme Councillors: Latest. Rebekah Lewis, Labour Party, Audley, 2026. Ian Wilkes, Conservative and Unionist ...",,https://opencouncildata.co.uk/council.php?c=103&y=0,,The text is a factual report providing details about Newcastle-under-Lyme Councillors and a website for contacting them. There is no expression of sentiment towards Lynn Dean or any individual mentioned.
Lynn Dean,Newcastle-under-Lyme,Knutton,Your County Councillors,Patrick Allen. East Staffordshire - Uttoxeter Town. Reform UK. Cabinet Support Member for Highways (Operations North).,,https://staffordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,,"The text lists various political roles and affiliations of Lynn Dean across multiple local authorities, indicating her active involvement in local politics. It does not contain any negative comments or criticisms but presents factual information about her positions within different Reform UK and Conservative groups. Given the extensive detail of her roles, it suggests a very positive sentiment as if encouraging engagement with her political activities."
David Bick,Norfolk,Thetford West,David Robert BICK personal appointments - Companies House,"Company status: Active. Correspondence address: Abbey Farm, Methwold Hythe, Norfolk, United Kingdom, IP26 4QH. Role Active: LLP Designated Member.",,https://find-and-update.company-information.service.gov.uk/officers/s8R3OGck0QB3_m-rKGi33l8Qt0Q/appointments,,"The text provided is an informative message about cookie usage on a website, with no mention or sentiment towards David Bick."
Oliver Freeston,North East Lincolnshire,Croft Baker,Rap on the knuckles for Cleethorpes councillor for daring to speak ...,"THE only Reform councillor on North East Lincolnshire Council is at the ... At a scrutiny panel meeting, Cllr Oliver Freeston (Croft Baker ...",########,https://grimsbynews.blogspot.com/2025/02/rap-on-knuckles-for-cleethorpes.html,,"The provided text does not contain any information or sentiment regarding Oliver Freeston. It is merely a statement about the location and invitation for comments, hence the neutral sentiment score of 0."
John Pinnington,St. Helens,Sutton South East,St. Helens Council Composition: Latest - Open Council Data UK,"Names, parties and wards of all UK councillors, up-to-date, free to access. Stakeholder communication and campaign datasets with councillor emails and roles ...",,https://opencouncildata.co.uk/council.php?c=285&y=0,,The provided text is a factual report of key details about St. Helens Councillors and does not express any sentiment towards John Pinnington.
Christopher Hudson,Suffolk,Belstead Brook,Ipswich Reform councillor slams decision to cancel elections,"Christopher Hudson, who represents Belstead Brook which includes Pinewood and Sproughton, described the decision as ""very dangerous"" and ...",15-Jan-25,https://martini.eadt.co.uk/news/24858407.ipswich-reform-councillor-slams-decision-cancel-elections/,,"The text presents a critical view of Christopher Hudson's stance against the postponement of Suffolk County Council elections and the move towards devolution. Hudson denounces the decision as 'very dangerous' and 'sinister', implying strong negative sentiment towards the actions taken by local councillors, including those who support devolution. He accuses the 'uniparty' (Labour and Conservatives) of fearing the electorate and denying them their democratic rights. The text emphasizes Hudson's disagreement with the fast-tracked devolution plans, suggesting a clear negative sentiment towards those in favor of this change."
Alex Anderson,Thurrock,Stanford East and Corringham Town,"Election results for Stanford East and Corringham Town, 3 May 2018",Stanford East and Corringham Town results. Conservative Win ANDERSON Alex was elected with a majority of 8%. A total of 2143 votes were cast ...,########,https://thurrock.moderngov.co.uk/mgElectionAreaResults.aspx?ID=385&V=2&RPID=0,,"The text reports factual information about Alex Anderson's election victory with a majority and the number of votes cast. It does not contain any negative language or criticism, indicating a very positive sentiment."
Alex Anderson,Thurrock,Stanford East and Corringham Town,Speaker profile for Cllr Alex Anderson (Reform UK),Speaker profile for Cllr Alex Anderson (Reform UK) - Thurrock Council committee meeting webcasts.,,https://thurrock.public-i.tv/core/portal/speaker_profile/40501,,"The provided text consists of links related to various official records like speaker details, attendance, declarations of interest, and register of interests. There is no explicit recommendation or positive/negative sentiment expressed towards any individual, including Alex Anderson."
Trevor Bence,West Sussex,Fontwell,Planning WSCC/045/19 - West Sussex Planning Register,"Trevor Bence, Fontwell. Case Officer. Edward Anderson. No map available for this application. Map Terms and Conditions. You are granted a non-exclusive, royalty ...",,https://westsussex.planning-register.co.uk/Planning/Display/WSCC/045/19,,The text is a factual report informing users about accessing and using licensed data from West Sussex County Council. There are no positive or negative opinions expressed about Trevor Bence; the content pertains solely to legal terms and conditions for accessing data without any personal references.
